name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Bogut","Golden State Warriors",2015-11-24,2015,2747,1610612744,400828101,2,5,52,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,"Hibbert, Roy",4.40,7.40
"Festus Ezeli","Golden State Warriors",2015-11-17,2015,6587,1610612744,400828051,3,7,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"Lowry, Kyle",2.70,10.10
"Andrew Bogut","Golden State Warriors",2016-03-09,2015,2747,1610612744,400828845,1,8,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Andrew Bogut","Golden State Warriors",2016-04-05,2015,2747,1610612744,400829050,1,6,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Festus Ezeli","Golden State Warriors",2015-11-02,2015,6587,1610612744,400827938,3,11,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,"Gasol, Marc",6.10,10.40
"Festus Ezeli","Golden State Warriors",2015-11-02,2015,6587,1610612744,400827938,3,8,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,"Barnes, Matt",2.00,13.90
"Festus Ezeli","Golden State Warriors",2015-12-16,2015,6587,1610612744,400828268,1,3,57,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,"Chandler, Tyson",2.30,16.10
"Andrew Bogut","Golden State Warriors",2015-11-17,2015,2747,1610612744,400828051,3,9,59,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"Valanciunas, Jonas",2.60,12.70
"Harrison Barnes","Golden State Warriors",2016-02-20,2015,6578,1610612744,400828709,3,10,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Festus Ezeli","Golden State Warriors",2015-11-04,2015,6587,1610612744,400827956,3,9,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,"Jordan, DeAndre",2.80,13.50
